央视,#genre#

CCTV1,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
CCTV2,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV3,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls
CCTV4,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
CCTV欧洲,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226268/1/index.m3u8?fmt=ts2hls
CCTV美洲,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226269/1/index.m3u8?fmt=ts2hls
CCTV5,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226024/1/index.m3u8?fmt=ts2hls
CCTV5+,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226128/1/index.m3u8?fmt=ts2hls
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226011/1/index.m3u8?fmt=ts2hls
CCTV7,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221225745/1/index.m3u8?fmt=ts2hls
CCTV8,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226005/1/index.m3u8?fmt=ts2hls
CCTV9,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226031/1/index.m3u8?fmt=ts2hls
CCTV10,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221225685/1/index.m3u8?fmt=ts2hls
CCTV11,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221225746/1/index.m3u8?fmt=ts2hls
CCTV12,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221225747/1/index.m3u8?fmt=ts2hls
CCTV13,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221225748/1/index.m3u8?fmt=ts2hls
CCTV14,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221225727/1/index.m3u8?fmt=ts2hls
CCTV15,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221225749/1/index.m3u8?fmt=ts2hls
CCTV16,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226302/1/index.m3u8?fmt=ts2hls
CCTV17,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226027/1/index.m3u8?fmt=ts2hls
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226001/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
